Title,Rank,Anime_Urls
Fullmetal Alchemist: Brotherhood,"
1
",https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
Shingeki no Kyojin Season 3 Part 2,"
2
",https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2
Steins;Gate,"
3
",https://myanimelist.net/anime/9253/Steins_Gate
Gintama°,"
4
",https://myanimelist.net/anime/28977/Gintama°
Fruits Basket: The Final,"
5
",https://myanimelist.net/anime/42938/Fruits_Basket__The_Final
Gintama',"
6
",https://myanimelist.net/anime/9969/Gintama
Hunter x Hunter (2011),"
7
",https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
Ginga Eiyuu Densetsu,"
8
",https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
Gintama': Enchousen,"
9
",https://myanimelist.net/anime/15417/Gintama__Enchousen
Gintama.,"
10
",https://myanimelist.net/anime/34096/Gintama
Gintama: The Final,"
11
",https://myanimelist.net/anime/39486/Gintama__The_Final
3-gatsu no Lion 2nd Season,"
12
",https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season
Koe no Katachi,"
13
",https://myanimelist.net/anime/28851/Koe_no_Katachi
Clannad: After Story,"
14
",https://myanimelist.net/anime/4181/Clannad__After_Story
Gintama,"
15
",https://myanimelist.net/anime/918/Gintama
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,"
16
",https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
Shingeki no Kyojin: The Final Season,"
17
",https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season
Owarimonogatari 2nd Season,"
18
",https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
Code Geass: Hangyaku no Lelouch R2,"
19
",https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
Kimi no Na wa.,"
20
",https://myanimelist.net/anime/32281/Kimi_no_Na_wa
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,"
21
",https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen
Shiguang Dailiren,"
22
",https://myanimelist.net/anime/44074/Shiguang_Dailiren
Violet Evergarden Movie,"
23
",https://myanimelist.net/anime/37987/Violet_Evergarden_Movie
Gintama.: Shirogane no Tamashii-hen,"
24
",https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
Mob Psycho 100 II,"
25
",https://myanimelist.net/anime/37510/Mob_Psycho_100_II
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"
26
",https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
Kizumonogatari III: Reiketsu-hen,"
27
",https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
Monster,"
28
",https://myanimelist.net/anime/19/Monster
Odd Taxi,"
29
",https://myanimelist.net/anime/46102/Odd_Taxi
Sen to Chihiro no Kamikakushi,"
30
",https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
Monogatari Series: Second Season,"
31
",https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
Cowboy Bebop,"
32
",https://myanimelist.net/anime/1/Cowboy_Bebop
Fate/stay night Movie: Heaven's Feel - III. Spring Song,"
33
",https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"
34
",https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
Mushishi Zoku Shou 2nd Season,"
35
",https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
Hajime no Ippo,"
36
",https://myanimelist.net/anime/263/Hajime_no_Ippo
Jujutsu Kaisen (TV),"
37
",https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV
Vinland Saga,"
38
",https://myanimelist.net/anime/37521/Vinland_Saga
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"
39
",https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
Evangelion: 3.0+1.0 Thrice Upon a Time,"
40
",https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time
Kimetsu no Yaiba Movie: Mugen Ressha-hen,"
41
",https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
Code Geass: Hangyaku no Lelouch,"
42
",https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
Mushishi Zoku Shou,"
43
",https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
Made in Abyss,"
44
",https://myanimelist.net/anime/34599/Made_in_Abyss
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"
45
",https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
Great Teacher Onizuka,"
46
",https://myanimelist.net/anime/245/Great_Teacher_Onizuka
Mononoke Hime,"
47
",https://myanimelist.net/anime/164/Mononoke_Hime
Shigatsu wa Kimi no Uso,"
48
",https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
Mushishi,"
49
",https://myanimelist.net/anime/457/Mushishi
Ashita no Joe 2,"
50
",https://myanimelist.net/anime/2921/Ashita_no_Joe_2
Haikyuu!! Second Season,"
51
",https://myanimelist.net/anime/28891/Haikyuu_Second_Season
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,"
52
",https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
Hajime no Ippo: New Challenger,"
53
",https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
Howl no Ugoku Shiro,"
54
",https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
Natsume Yuujinchou Shi,"
55
",https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
